datetime,open,high,low,close,volume,previous open,open-change,open-trend,previous high,high-change,high-trend,previous low,low-change,low-trend,previous close,close-change,close-trend,previous volume,volume-change,volume-trend,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-10-23 11:45:00,328.76,329.23,328.66,329.00,140751,327.37,1.39,1,328.32,0.91,1,327.35,1.31,1,328.28,0.72,1,144316.0,-3565.0,0,0.76,0.49,0.42,0.07,36.62,328.82,58.11
2023-10-23 11:50:00,329.00,329.26,328.68,328.80,252095,328.32,0.68,1,328.76,0.5,1,327.93,0.75,1,328.1,0.7,1,244279.0,7816.0,1,0.67,0.46,0.43,0.03,36.83,328.82,55.96
2023-10-23 11:55:00,328.81,329.42,328.74,329.41,147862,328.08,0.73,1,328.8,0.62,1,327.92,0.82,1,328.35,1.06,1,214078.0,-66216.0,0,0.84,0.48,0.44,0.04,37.25,328.94,60.82
2023-10-23 12:00:00,329.41,329.73,329.05,329.33,182407,328.34,1.07,1,329.05,0.68,1,328.3,0.75,1,328.97,0.36,1,209055.0,-26648.0,0,0.79,0.49,0.45,0.04,38.05,329.02,59.88
2023-10-23 12:05:00,329.35,330.26,329.32,330.22,221351,328.97,0.38,1,329.25,1.01,1,328.75,0.57,1,329.18,1.04,1,153099.0,68252.0,1,1.01,0.56,0.47,0.09,39.36,329.26,66.15
2023-10-23 12:10:00,330.22,330.48,330.05,330.20,177101,329.18,1.04,1,329.57,0.91,1,328.85,1.2,1,328.92,1.28,1,171305.0,5796.0,1,0.97,0.60,0.50,0.11,40.78,329.45,65.90
2023-10-23 12:15:00,330.18,330.88,330.13,330.14,269808,328.9,1.28,1,329.24,1.64,1,328.71,1.42,1,329.16,0.98,1,145696.0,124112.0,1,0.90,0.63,0.52,0.11,42.43,329.58,65.05
2023-10-23 12:20:00,330.14,330.67,329.77,330.62,257637,329.12,1.02,1,329.25,1.42,1,328.77,1.0,1,329.01,1.61,1,121253.0,136384.0,1,0.98,0.68,0.55,0.13,42.79,329.79,68.39
2023-10-23 12:25:00,330.62,330.67,330.35,330.51,152564,329.07,1.55,1,329.39,1.28,1,328.94,1.41,1,329.29,1.22,1,107789.0,44775.0,1,0.91,0.70,0.58,0.12,43.12,329.94,66.78
2023-10-23 12:30:00,330.52,330.82,330.12,330.64,161494,329.29,1.23,1,329.33,1.49,1,328.71,1.41,1,328.76,1.88,1,125493.0,36001.0,1,0.92,0.72,0.61,0.11,42.72,330.08,67.70
2023-10-23 12:35:00,330.65,331.62,330.59,331.29,352833,328.76,1.89,1,329.23,2.39,1,328.66,1.93,1,329.0,2.29,1,140751.0,212082.0,1,1.04,0.78,0.65,0.14,43.25,330.32,71.92
2023-10-23 12:40:00,331.31,331.45,331.10,331.32,244109,329.0,2.31,1,329.26,2.19,1,328.68,2.42,1,328.8,2.52,1,252095.0,-7986.0,0,0.98,0.82,0.68,0.14,43.75,330.52,72.11
2023-10-23 12:45:00,331.33,331.59,331.21,331.42,274399,328.81,2.52,1,329.42,2.17,1,328.74,2.47,1,329.41,2.01,1,147862.0,126537.0,1,0.95,0.85,0.72,0.14,44.34,330.70,72.75
2023-10-23 12:50:00,331.42,331.60,331.28,331.35,174568,329.41,2.01,1,329.73,1.87,1,329.05,2.23,1,329.33,2.02,1,182407.0,-7839.0,0,0.88,0.86,0.74,0.12,44.91,330.83,71.41
2023-10-23 12:55:00,331.34,332.68,331.32,332.68,272684,329.35,1.99,1,330.26,2.42,1,329.32,2.0,1,330.22,2.46,1,221351.0,51333.0,1,1.09,0.96,0.79,0.18,46.33,331.20,78.73
2023-10-23 13:00:00,332.66,332.73,331.93,331.98,203344,330.22,2.44,1,330.48,2.25,1,330.05,1.88,1,330.2,1.78,1,177101.0,26243.0,1,0.89,0.98,0.83,0.15,47.67,331.36,68.85
2023-10-23 13:05:00,331.98,332.23,331.87,332.08,148047,330.18,1.8,1,330.88,1.35,1,330.13,1.74,1,330.14,1.94,1,269808.0,-121761.0,0,0.86,0.99,0.86,0.13,48.71,331.50,69.41
2023-10-23 13:10:00,332.11,332.25,331.70,332.06,141493,330.14,1.97,1,330.67,1.58,1,329.77,1.93,1,330.62,1.44,1,257637.0,-116144.0,0,0.82,0.98,0.88,0.10,49.14,331.61,69.13
